Instrument,Last,Mean,Stdev,Z-Score
1M5Y-3M5Y-5Y5Y,56.2,25.892,21.5344,1.4074
1M5Y-3M5Y-7Y5Y,50.0,15.309,24.8442,1.3963
1M5Y-3M5Y-10Y5Y,44.3,6.048,27.1541,1.4087
1M5Y-3M5Y-15Y5Y,31.3,21.441,26.3495,0.3742
1M5Y-3M5Y-20Y5Y,124.3,81.669,31.5385,1.3517
1M5Y-3M5Y-30Y5Y,175.2,149.211,20.9326,1.2416
1M5Y-6M5Y-1Y5Y,2.5,-0.64,3.6736,0.8548
1M5Y-6M5Y-2Y5Y,25.1,11.571,11.2621,1.2013
1M5Y-6M5Y-3Y5Y,33.0,11.381,15.8323,1.3655
1M5Y-6M5Y-4Y5Y,34.1,7.665,19.1393,1.3812
1M5Y-6M5Y-5Y5Y,31.6,2.674,21.0776,1.3724
1M5Y-6M5Y-7Y5Y,25.4,-7.909,24.4547,1.3621
1M5Y-6M5Y-10Y5Y,19.7,-17.17,26.8134,1.3751
1M5Y-6M5Y-15Y5Y,6.7,-1.777,26.4381,0.3206
1M5Y-6M5Y-20Y5Y,99.7,58.451,31.2815,1.3186
1M5Y-6M5Y-30Y5Y,150.6,125.993,20.7063,1.1884
1M5Y-1Y5Y-2Y5Y,-20.3,-25.641,5.2217,1.0229
1M5Y-1Y5Y-3Y5Y,-12.4,-25.831,9.8557,1.3628
1M5Y-1Y5Y-4Y5Y,-11.3,-29.547,13.3344,1.3684
1M5Y-1Y5Y-5Y5Y,-13.8,-34.538,15.3354,1.3523
1M5Y-1Y5Y-7Y5Y,-20.0,-45.121,18.6869,1.3443
1M5Y-1Y5Y-10Y5Y,-25.7,-54.382,21.0917,1.3599
1M5Y-1Y5Y-15Y5Y,-38.7,-38.989,22.5711,0.0128
1M5Y-1Y5Y-20Y5Y,54.3,21.239,25.9188,1.2756
1M5Y-1Y5Y-30Y5Y,105.2,88.781,15.4171,1.065
1M5Y-2Y5Y-3Y5Y,-57.6,-50.253,7.1445,-1.0283
1M5Y-2Y5Y-4Y5Y,-56.5,-53.969,5.8441,-0.4331
1M5Y-2Y5Y-5Y5Y,-59.0,-58.96,5.9849,-0.0067
1M5Y-2Y5Y-7Y5Y,-65.2,-69.543,7.0546,0.6156
1M5Y-2Y5Y-10Y5Y,-70.9,-78.804,8.8942,0.8887
1M5Y-2Y5Y-15Y5Y,-83.9,-63.411,16.4006,-1.2493
1M5Y-2Y5Y-20Y5Y,9.1,-3.183,13.7293,0.8947
1M5Y-2Y5Y-30Y5Y,60.0,64.359,7.9054,-0.5514
1M5Y-3Y5Y-4Y5Y,-72.3,-53.589,12.5409,-1.492
1M5Y-3Y5Y-5Y5Y,-74.8,-58.58,10.9714,-1.4784
1M5Y-3Y5Y-7Y5Y,-81.0,-69.163,8.7061,-1.3596
1M5Y-3Y5Y-10Y5Y,-86.7,-78.424,8.1545,-1.0149
1M5Y-3Y5Y-15Y5Y,-99.7,-63.031,17.8495,-2.0543
1M5Y-3Y5Y-20Y5Y,-6.7,-2.803,9.2141,-0.4229
1M5Y-3Y5Y-30Y5Y,44.2,64.739,12.9995,-1.58
1M5Y-4Y5Y-5Y5Y,-77.0,-51.148,16.9756,-1.5229
1M5Y-4Y5Y-7Y5Y,-83.2,-61.731,14.1482,-1.5174
1M5Y-4Y5Y-10Y5Y,-88.9,-70.992,12.7999,-1.3991
1M5Y-4Y5Y-15Y5Y,-101.9,-55.599,21.0408,-2.2005
1M5Y-4Y5Y-20Y5Y,-8.9,4.629,10.6537,-1.2699
1M5Y-4Y5Y-30Y5Y,42.0,72.171,18.6807,-1.6151
1M5Y-5Y5Y-7Y5Y,-78.2,-51.749,17.7189,-1.4928
1M5Y-5Y5Y-10Y5Y,-83.9,-61.01,16.1999,-1.413
1M5Y-5Y5Y-15Y5Y,-96.9,-45.617,23.5614,-2.1766
1M5Y-5Y5Y-20Y5Y,-3.9,14.611,13.2269,-1.3995
1M5Y-5Y5Y-30Y5Y,47.0,82.153,22.2439,-1.5803
1M5Y-7Y5Y-10Y5Y,-71.5,-39.844,22.0038,-1.4387
1M5Y-7Y5Y-15Y5Y,-84.5,-24.451,28.9471,-2.0744
1M5Y-7Y5Y-20Y5Y,8.5,35.777,18.4315,-1.4799
1M5Y-7Y5Y-30Y5Y,59.4,103.319,28.3095,-1.5514
1M5Y-10Y5Y-15Y5Y,-73.1,-5.929,33.3428,-2.0146
1M5Y-10Y5Y-20Y5Y,19.9,54.299,22.664,-1.5178
1M5Y-10Y5Y-30Y5Y,70.8,121.841,32.7793,-1.5571
1M5Y-15Y5Y-20Y5Y,45.9,23.513,26.4517,0.8463
1M5Y-15Y5Y-30Y5Y,96.8,91.055,33.5816,0.1711
1M5Y-20Y5Y-30Y5Y,-89.2,-29.401,41.5604,-1.4388
3M5Y-6M5Y-1Y5Y,10.4,6.997,3.1783,1.0707
3M5Y-6M5Y-2Y5Y,33.0,19.208,10.796,1.2775
3M5Y-6M5Y-3Y5Y,40.9,19.018,15.3835,1.4224
3M5Y-6M5Y-4Y5Y,42.0,15.302,18.6904,1.4284
3M5Y-6M5Y-5Y5Y,39.5,10.311,20.6263,1.4151
3M5Y-6M5Y-7Y5Y,33.3,-0.272,23.9932,1.3992
3M5Y-6M5Y-10Y5Y,27.6,-9.533,26.3641,1.4085
